,,,
,,,
0.8695652174,0.9275362319,0.8985507246,0.8985507246
0.0797101449,0.0072463768,0.0434782609,0.0434782609
0.0507246377,0.0652173913,0.0579710145,0.0579710145
,,,
,,,
0.9489795918,0.9791666667,0.9489795918,0.9791666667
0.0612244898,0.0208333333,0.0612244898,0
0.0102040816,0.0104166667,0.0102040816,0.0208333333
,,,
,,,
0.675,0.8095238095,0.775,0.7142857143
0.175,0,0.05,0.1428571429
0.15,0.1904761905,0.175,0.1428571429
,,,
,,,
0.9420289855,0.9637681159,0.9420289855,0.9547101449
0.0434782609,0.0217391304,0.0289855072,0.027173913
0.0144927536,0.0144927536,0.0289855072,0.018115942
,,,
,,,
0.9791666667,0.9791666667,0.96875,0.96875
0.0208333333,0.0416666667,0.0208333333,0.0208333333
0,0,0.0208333333,0.0208333333
,,,
,,,
0.8571428571,0.880952381,0.880952381,0.880952381
0.0952380952,0.0714285714,0.0714285714,0.0714285714
0.0476190476,0.0476190476,0.0476190476,0.0476190476
